bin_left,bin_right,bin_center,count
0.2699679069947285,0.3261916708032536,0.29807978889899106,1
0.3261916708032536,0.3824154346117787,0.3543035527075161,5
0.3824154346117787,0.43863919842030374,0.41052731651604124,7
0.43863919842030374,0.49486296222882886,0.4667510803245663,15
0.49486296222882886,0.551086726037354,0.5229748441330915,25
0.551086726037354,0.607310489845879,0.5791986079416165,37
0.607310489845879,0.6635342536544041,0.6354223717501415,67
0.6635342536544041,0.7197580174629292,0.6916461355586667,41
0.7197580174629292,0.7759817812714543,0.7478698993671917,54
0.7759817812714543,0.8322055450799795,0.804093663175717,49
0.8322055450799795,0.8884293088885045,0.860317426984242,36
0.8884293088885045,0.9446530726970296,0.916541190792767,13
0.9446530726970296,1.0008768365055547,0.9727649546012922,18
1.0008768365055547,1.0571006003140797,1.0289887184098172,10
1.0571006003140797,1.113324364122605,1.0852124822183424,6
1.113324364122605,1.16954812793113,1.1414362460268674,8
1.16954812793113,1.225771891739655,1.1976600098353924,0
1.225771891739655,1.2819956555481802,1.2538837736439175,3
1.2819956555481802,1.3382194193567052,1.3101075374524427,0
1.3382194193567052,1.3944431831652304,1.366331301260968,1
1.3944431831652304,1.4506669469737554,1.422555065069493,0
1.4506669469737554,1.5068907107822804,1.478778828878018,2
1.5068907107822804,1.5631144745908057,1.535002592686543,0
1.5631144745908057,1.6193382383993307,1.5912263564950682,0
1.6193382383993307,1.6755620022078557,1.6474501203035932,0
1.6755620022078557,1.731785766016381,1.7036738841121184,0
1.731785766016381,1.788009529824906,1.7598976479206434,1
1.788009529824906,1.844233293633431,1.8161214117291684,0
1.844233293633431,1.9004570574419561,1.8723451755376934,0
1.9004570574419561,1.9566808212504812,1.9285689393462186,0
1.9566808212504812,2.0129045850590064,1.9847927031547439,0
2.0129045850590064,2.0691283488675314,2.041016466963269,0
2.0691283488675314,2.1253521126760564,2.097240230771794,1
